"Issue","overall_mean","Group","Value"
"Technology",1.58251108950325,"State Legislators",1.16263081626568
"Transportation",2.86106327038586,"State Legislators",2.52368946206489
"Agriculture",0.704339465446917,"State Media",0.898727832678344
"Civil Rights",11.3587762292328,"State Media",9.97543839736714
"Defense",3.56940705004442,"State Media",1.56745432483321
"Domestic Commerce",4.05079995776502,"State Media",5.79043518726301
"Economy",7.63665505582421,"State Media",6.40352506217973
"Education",3.58752349107169,"State Media",5.98263451807033
"Energy",1.75558040565725,"State Media",2.56627370760364
"Environment",3.42636399555271,"State Media",4.02611766904462
"Foreign Trade",0.360742910518907,"State Media",0.285203241512382
"Gov. Operations",18.0268143702807,"State Media",11.5748274168006
"Gun Control",2.52412977167887,"State Media",1.80704960029713
"Healthcare",15.4961018987122,"State Media",19.8576035400625
"Housing",1.90980760800079,"State Media",5.76455993917514
"Immigration",3.5801538222689,"State Media",2.4932818724156
"Intl. Affairs",7.13317585945237,"State Media",5.44696250153406
"Labor",2.62725854596851,"State Media",2.20223313745612
"Law and Crime",5.25571230671788,"State Media",5.38964758758379
"Public Lands",1.19657432114092,"State Media",2.2926094441927
"Social Welfare",1.35650857477584,"State Media",0.915552911103899
"Technology",1.58251108950325,"State Media",1.33481169135058
"Transportation",2.86106327038586,"State Media",3.42505041747543
"Agriculture",0.704339465446917,"State Partisans",0.607885877051973
"Civil Rights",11.3587762292328,"State Partisans",15.1957557243075
"Defense",3.56940705004442,"State Partisans",2.75534497793638
"Domestic Commerce",4.05079995776502,"State Partisans",2.51737431697979
"Economy",7.63665505582421,"State Partisans",4.42082116539792
"Education",3.58752349107169,"State Partisans",3.39561126757951
"Energy",1.75558040565725,"State Partisans",1.69979197455221
"Environment",3.42636399555271,"State Partisans",3.29443368390071
"Foreign Trade",0.360742910518907,"State Partisans",0.432487414872858
"Gov. Operations",18.0268143702807,"State Partisans",25.1418251944363
"Gun Control",2.52412977167887,"State Partisans",4.78277209892469
"Healthcare",15.4961018987122,"State Partisans",11.3847010503678
"Housing",1.90980760800079,"State Partisans",1.26096544762706
"Immigration",3.5801538222689,"State Partisans",4.47089781379637
"Intl. Affairs",7.13317585945237,"State Partisans",6.33809636752397
"Labor",2.62725854596851,"State Partisans",1.63301945632837
"Law and Crime",5.25571230671788,"State Partisans",5.67332344993022
"Public Lands",1.19657432114092,"State Partisans",0.727832031697939
"Social Welfare",1.35650857477584,"State Partisans",1.33371862399757
"Technology",1.58251108950325,"State Partisans",1.62102756412446
"Transportation",2.86106327038586,"State Partisans",1.31231449866637
"Agriculture",0.704339465446917,"Random public",0.528566313606531
"Civil Rights",11.3587762292328,"Random public",16.9592341530224
"Defense",3.56940705004442,"Random public",2.81701493086295
"Domestic Commerce",4.05079995776502,"Random public",2.94755583626543
"Economy",7.63665505582421,"Random public",4.04146467355733
"Education",3.58752349107169,"Random public",2.35692175122087
"Energy",1.75558040565725,"Random public",1.31156791215078
"Environment",3.42636399555271,"Random public",2.83603825041149
"Foreign Trade",0.360742910518907,"Random public",0.446271849547215
"Gov. Operations",18.0268143702807,"Random public",27.0346197830278
"Gun Control",2.52412977167887,"Random public",5.61027838606406
"Healthcare",15.4961018987122,"Random public",10.3135070197227
"Housing",1.90980760800079,"Random public",1.07481126858596
"Immigration",3.5801538222689,"Random public",3.85903143454914
"Intl. Affairs",7.13317585945237,"Random public",6.23671140855694
"Labor",2.62725854596851,"Random public",1.33255419122327
"Law and Crime",5.25571230671788,"Random public",5.60018283426349
"Public Lands",1.19657432114092,"Random public",0.647577142808857
"Social Welfare",1.35650857477584,"Random public",1.23726251950681
"Technology",1.58251108950325,"Random public",1.83932305892874
"Transportation",2.86106327038586,"Random public",0.969505282117342
"Agriculture",0.704339465446917,"Trump",0.115740363983562
"Civil Rights",11.3587762292328,"Trump",7.01716164815472
"Defense",3.56940705004442,"Trump",5.24276051078221
"Domestic Commerce",4.05079995776502,"Trump",5.96263152242691
"Economy",7.63665505582421,"Trump",18.0653929634894
"Education",3.58752349107169,"Trump",2.15783783714571
"Energy",1.75558040565725,"Trump",0.818724397088344
"Environment",3.42636399555271,"Trump",3.89194656884312
"Foreign Trade",0.360742910518907,"Trump",0.388080103288785
"Gov. Operations",18.0268143702807,"Trump",7.10495296484226
"Gun Control",2.52412977167887,"Trump",0.690258507652603
"Healthcare",15.4961018987122,"Trump",22.2691785375575
"Housing",1.90980760800079,"Trump",0.684222705176787
"Immigration",3.5801538222689,"Trump",1.55589016385226
"Intl. Affairs",7.13317585945237,"Trump",4.93581397717087
"Labor",2.62725854596851,"Trump",6.15315090488672
"Law and Crime",5.25571230671788,"Trump",2.62730566751308
"Public Lands",1.19657432114092,"Trump",0.965950058458428
"Social Welfare",1.35650857477584,"Trump",1.15797714998187
"Technology",1.58251108950325,"Trump",1.24858319338918
"Transportation",2.86106327038586,"Trump",6.94644025431567
