"tweet_id","dataset","major","minor","tokens_n"
"956942315519557633","media","6","602","9"
"1004524594420580352","media","16","1608","15"
"991703365812936704","media","20","2012","24"
"957497392756031488","media","20","2012","9"
"965337722792566784","media","25","2502","9"
"1095761398842486784","media","2","202","7"
"994160276302856192","media","20","2031","9"
"1083725328609087489","media","4","403","21"
"971022775249928193","media","2","208","9"
"987311563727089665","media","7","709","10"
"1094618082029568000","media","15","1500","47"
"1096059713618235393","media","17","1706","11"
"1096176788831522816","media","12","1201","14"
"997299465257209857","media","10","1000","12"
"1095442425617805314","media","6","602","31"
"962554688959844352","media","8","800","8"
"959101651054407680","media","21","2103","11"
"1004468129035104256","media","12","1204","25"
"1087468011177558025","media","15","1526","45"
"1060350164626362368","media","1","107","21"
"1060010181726294016","media","4","402","11"
"999396037671444482","media","1","105","11"
"1087915358902800384","media","5","505","33"
"1090705002493026304","media","20","2031","15"
"989898740470243328","media","25","2502","7"
"1052693695072358401","media","4","405","12"
"1004747256803700741","media","12","1203","18"
"957113657648803841","media","14","1400","16"
"1072674635634917378","media","12","1200","12"
"1028371728785911808","media","15","1521","8"
"1001565551716651008","media","20","2031","20"
"982268691449606144","media","25","2502","15"
"996208580025049090","media","8","806","18"
"1003472646787383296","media","8","804","8"
"979372708466176001","media","20","2031","26"
"983758545945546752","media","8","806","13"
"983671589077225474","media","2","208","10"
"1071090728422391808","media","2","206","18"
"1087859030297591809","media","15","1523","8"
"968304758787379201","media","7","709","19"
"1054439763103662080","media","21","2101","18"
"1072621902483652609","media","4","400","13"
"1092845312056745985","media","6","602","14"
"992173842738110464","media","10","1003","13"
"1095368838634459137","media","10","1000","10"
"1095754380404375553","media","10","1099","15"
"1032257092655230976","media","7","705","30"
"992497861827973120","media","13","1308","25"
"979743060224454657","media","5","505","10"
"1004333540757028865","media","20","2031","9"
"1094992739173912576","media","14","1400","31"
"1096341942189858823","media","9","900","11"
"1053663154859851776","media","2","202","23"
"1092440710752522240","media","10","1001","17"
"971421168929574913","media","10","1003","12"
"1093307147436343296","media","8","803","11"
"954431633280700416","media","12","1203","16"
"996215916026195968","media","7","703","11"
"993662476783833088","media","21","2101","24"
"1070321938382372864","media","2","206","28"
"982664802265976832","media","6","601","16"
"993279301310205958","media","2","206","10"
"984890846121209856","media","1","107","15"
"1095871437192220672","media","12","1203","11"
"1091059532300718081","media","5","505","9"
"977393303233712133","media","1","105","16"
"996582617502900226","media","14","1403","13"
"980142694411497475","media","15","1520","20"
"1094801712735547393","media","12","1203","7"
"1003547899953844225","media","10","1002","12"
"996717230615248897","media","21","2101","12"
"977245967920410624","media","20","2031","21"
"994700120791826432","media","10","1002","11"
"1095473892892717058","media","21","2100","12"
"1094314914448056321","media","12","1299","16"
"961676131467481088","media","4","403","23"
"974238797071290374","media","3","341","16"
"961747315970248704","media","2","202","11"
"1095728085188661248","media","2","201","17"
"1083857494571732992","media","4","400","23"
"996076120440123392","media","7","709","7"
"1089939703728615424","media","12","1203","10"
"968489649147666434","media","17","1706","18"
"988909319583252480","media","14","1400","13"
"1054461657177411587","media","2","202","11"
"1047213213107011584","media","8","805","31"
"991482477515624449","media","10","1003","13"
"1060117241331699712","media","1","107","44"
"1072613415301120007","media","7","703","20"
"993495652230483969","media","7","709","14"
"1008037657119637504","media","12","1210","28"
"1067555358963625984","media","15","1520","20"
"987420820166336512","media","10","1007","12"
"964994153439531014","media","3","301","20"
"1003655207929171970","media","2","202","12"
"986678497409040384","media","9","900","18"
"996418524016005120","media","15","1526","19"
"961273348473982977","media","6","603","12"
"1087173011722174464","media","8","806","9"
"1084062463090397184","media","14","1403","15"
"973952043705487361","media","2","202","15"
"500100450579152896","legislators","6","601","19"
"611741981820211200","legislators","0","0","15"
"396066872845959168","legislators","0","0","20"
"528211497781329920","legislators","20","2012","9"
"562786960151154688","legislators","0","0","13"
"614093011857768448","legislators","20","2011","18"
"420984781221134339","legislators","0","0","17"
"897151736984424448","legislators","7","705","18"
"870358451129655297","legislators","19","1921","26"
"968578188308774912","legislators","0","0","13"
"988740020348518400","legislators","0","0","5"
"624635187830345728","legislators","10","1010","19"
"598446049431199744","legislators","0","0","12"
"641764279742394368","legislators","0","0","8"
"477865945994891264","legislators","0","0","12"
"443973831481249792","legislators","24","2400","23"
"925580062774009857","legislators","20","2012","11"
"1001617813910446080","legislators","0","0","8"
"644896157777461248","legislators","20","2005","23"
"532749698118209536","legislators","0","0","10"
"927287645679620096","legislators","0","0","4"
"724648377535856641","legislators","10","1002","19"
"965951725382373376","legislators","0","0","18"
"4470459511","legislators","0","0","7"
"641008268614193153","legislators","3","300","25"
"527202618880573440","legislators","1","100","18"
"281188673578475521","legislators","0","0","7"
"655907078729371649","legislators","20","2099","19"
"450634177285599232","legislators","3","301","9"
"758519510190129152","legislators","0","0","20"
"723860951775252481","legislators","7","705","9"
"849438873939828737","legislators","20","2005","21"
"504371159152873472","legislators","20","2012","22"
"738085858687877120","legislators","9","900","16"
"743551764109135872","legislators","12","1299","16"
"801816340503953408","legislators","0","0","10"
"724461202428944384","legislators","6","603","21"
"9028872395","legislators","0","0","7"
"535821173268168704","legislators","0","0","6"
"651798533578711040","legislators","0","0","5"
"280816165977210880","legislators","0","0","23"
"908880349039611905","legislators","20","2000","20"
"769240919644123137","legislators","0","0","21"
"499633718789939200","legislators","20","2012","16"
"634136108075515908","legislators","0","0","19"
"176772797828317186","legislators","20","2012","12"
"605086411038031873","legislators","16","1608","19"
"322723133247348736","legislators","0","0","21"
"634112777481789440","legislators","0","0","22"
"809535660939997185","legislators","14","1409","19"
"633356463985963008","legislators","0","0","8"
"875493541870526469","legislators","7","705","19"
"475673019805749249","legislators","0","0","22"
"759439448106991616","legislators","13","1308","19"
"162908710304358401","legislators","0","0","22"
"773180430866677760","legislators","0","0","10"
"308777902810480641","legislators","0","0","8"
"961743565771694080","legislators","0","0","10"
"826830140197961730","legislators","5","505","20"
"948057861824942081","legislators","0","0","16"
"656198533813374976","legislators","12","1200","17"
"982043417168498689","legislators","2","206","14"
"871118901559545856","legislators","0","0","9"
"911966069912457216","legislators","13","1305","21"
"592763078229516288","legislators","20","2012","10"
"773681038346231809","legislators","19","1921","8"
"1761044152","legislators","0","0","26"
"646417439689981952","legislators","16","1608","22"
"795385850460680192","legislators","20","2012","20"
"842477655211606017","legislators","9","9000","21"
"385503469978669056","legislators","12","1208","14"
"744629109255438336","legislators","0","0","24"
"628575086623133696","legislators","16","1608","15"
"201661652138082304","legislators","0","0","26"
"453965237377445888","legislators","25","2501","18"
"981224031700574208","legislators","15","1521","31"
"571313305421271040","legislators","6","600","22"
"4.35508E+17","legislators","0","0","9"
"744527491927248896","legislators","0","0","4"
"801781140319244292","legislators","0","0","27"
"688959992762732545","legislators","9","900","16"
"907379423036526592","legislators","0","0","7"
"818853764429975556","legislators","9","900","21"
"402451918381146112","legislators","0","0","13"
"693083160037474304","legislators","0","0","11"
"641726433396715520","legislators","20","2032","13"
"951879178219147267","legislators","9","900","32"
"507984493660344320","legislators","0","0","22"
"605380150323224576","legislators","2","299","15"
"608608841006223361","legislators","0","0","18"
"744144638215340033","legislators","6","600","20"
"477482405507264512","legislators","10","1002","18"
"490518113406816256","legislators","3","300","14"
"931865314605850624","legislators","0","","17"
"764461764998291456","legislators","0","","19"
"572850016676675587","legislators","4","405","22"
"816092888962572289","legislators","0","","13"
"903389076165877760","legislators","0","","14"
"119914630637305856","legislators","20","2012","23"
"590893008599519232","legislators","7","700","18"
"659183025415168001","legislators","7","700","21"
"907748514024828930","legislators","3","302","16"
"938892087948328961","legislators","7","705","19"
"823985336816574464","legislators","0","0","7"
"514547809622949889","legislators","0","0","16"
"960324765037703169","legislators","0","0","31"
"614090428787372032","legislators","25","2502","15"
"667742077531328512","legislators","6","602","17"
"48153908085932032","legislators","7","704","22"
"874696713646202882","legislators","4","408","23"
"632589369929437184","legislators","3","399","17"
"684443795740602369","legislators","7","700","19"
"481405767463870465","legislators","8","803","22"
"896104706866520064","legislators","7","707","17"
"729354312586018817","legislators","7","701","12"
"658040077193383936","legislators","0","0","7"
"433725273406963712","legislators","20","2000","20"
"818126716572823552","legislators","17","1708","21"
"116287201259692033","legislators","7","701","16"
"338457530005069825","legislators","1","105","22"
"439563594577891329","legislators","7","701","15"
"502500782982193152","legislators","20","2000","10"
"583705978945699840","legislators","4","402","13"
"719662217482805249","legislators","7","798","18"
"770111978295660544","legislators","0","","12"
"870070619068563456","legislators","0","","7"
"364347000999116800","legislators","7","700","16"
"159472452978737154","legislators","0","","23"
"135824582069329920","legislators","0","","12"
"928085114659237889","legislators","20","2012","14"
"887153866764042241","legislators","7","705","19"
"527903507916283904","legislators","1","107","17"
"580228319385358336","legislators","0","0","23"
"880431622901944321","legislators","0","0","20"
"856940890895634437","legislators","7","711","10"
"225933914437451777","legislators","0","0","22"
"575387386575765505","legislators","7","701","16"
"961742714277478400","legislators","7","705","8"
"318495286408404992","legislators","7","709","19"
"740155447613763588","legislators","10","1000","19"
"780444381719457792","legislators","25","2500","10"
"725348304960114688","legislators","7","701","18"
"741666758726176768","legislators","24","2400","16"
"879417814972592128","legislators","21","2104","18"
"846866548564348931","legislators","0","0","16"
"773329959494352896","legislators","8","803","16"
"631138383276953601","legislators","7","700","19"
"648495303943921664","legislators","7","701","13"
"603206314643202048","legislators","0","0","20"
"357578930774999041","legislators","7","705","12"
"780608015707713536","legislators","24","2400","27"
"646728728953774080","legislators","7","709","13"
"438354459945877504","legislators","7","705","17"
"673889136760197120","legislators","7","705","18"
"921135497409417217","legislators","0","0","10"
"986295491418869767","legislators","0","0","10"
"502448277451972611","legislators","12","1227","21"
"603375697122426881","legislators","0","0","10"
"839232281071931392","legislators","7","701","15"
"992748109007654912","legislators","0","0","17"
"419647482222489600","legislators","0","0","14"
"605490545222385665","legislators","0","0","14"
"976516717559074816","legislators","8","806","14"
"905529858125529088","legislators","7","705","17"
"625736899362058240","legislators","7","701","16"
"474587861132775424","legislators","4","405","20"
"773542043176038402","legislators","3","300","18"
"675042190490509313","legislators","24","2400","14"
"828230350241484800","legislators","0","0","14"
"413773869132967936","legislators","4","408","19"
"237375064222334977","legislators","0","0","7"
"795994699899240448","legislators","0","0","11"
"598210262932582400","legislators","20","2001","13"
"748516514068828164","legislators","8","802","19"
"605759201994899457","legislators","0","0","20"
"696088646286385152","legislators","7","711","21"
"585863985037242370","legislators","0","0","14"
"737458247603490816","legislators","0","0","23"
"994581054504751104","legislators","0","0","19"
"917823473837207552","legislators","8","806","17"
"444681851630661633","legislators","7","709","18"
"712076582781906948","legislators","0","0","24"
"631526233277378560","legislators","13","1308","17"
"895725453922762752","legislators","3","342","18"
"821467332023177216","legislators","3","343","17"
"997553610312450048","legislators","3","322","48"
"468540289372930048","legislators","3","333","8"
"596693510801256448","legislators","6","601","9"
"931933103588753408","legislators","3","302","9"
"560945133584404480","legislators","3","321","20"
"950813199833686016","legislators","10","1099","41"
"827669714633650179","legislators","3","300","23"
"695368965242007552","legislators","3","300","22"
"791687492189773824","legislators","16","1608","20"
"458846113676546048","legislators","3","300","13"
"664180098556407809","legislators","3","332","18"
"781480239721349124","legislators","3","331","17"
"865292578329112576","legislators","3","399","20"
"978731149576081408","legislators","13","1399","30"
"1005105610172633088","legislators","3","333","28"
"691957990744784896","legislators","3","399","20"
"841741846950817792","legislators","1","105","15"
"920741175073615874","legislators","3","301","20"
"920449276714430464","legislators","2","202","21"
"844331117985574914","legislators","3","300","21"
"616311785042386944","legislators","13","1303","15"
"732967214027055106","legislators","3","332","20"
"585118237123158016","legislators","3","399","15"
"923616666625421313","legislators","13","1303","21"
"594184769837072385","legislators","3","302","16"
"859907369043582976","legislators","3","342","21"
"679110639122518016","legislators","3","342","16"
"829174397260877825","legislators","3","301","24"
"779745615513133056","legislators","3","300","21"
"938434654171930624","legislators","20","2005","9"
"837724313914650625","legislators","3","342","23"
"981500670950952961","legislators","3","342","24"
"497107318316621825","legislators","3","343","18"
"197790401506185216","legislators","3","302","17"
"980367505830137856","legislators","3","302","12"
"720805743788761088","legislators","3","301","25"
"1001462929898856450","legislators","13","1303","42"
"2782435970","legislators","0","0","27"
"878234121247625216","legislators","3","399","22"
"648867808474988544","legislators","3","399","17"
"603617951741288448","legislators","12","1208","15"
"910231131605278720","legislators","3","300","13"
"847467394377363456","legislators","5","505","17"
"8.63829E+17","legislators","1","105","23"
"1003258070284292101","legislators","3","302","44"
"695621844590731265","legislators","3","399","19"
"751514551414247425","legislators","3","333","22"
"844577498327339009","legislators","3","399","10"
"121243216237428737","legislators","3","332","21"
"444515641337184256","legislators","0","0","15"
"914085028602159104","legislators","3","332","23"
"338788135674728448","legislators","3","302","22"
"289711704177250304","legislators","3","300","10"
"913344696323313664","legislators","3","301","25"
"516683831743885312","legislators","6","699","18"
"253873665060532225","legislators","3","399","17"
"819223500304961536","legislators","1","105","19"
"655509316867391488","legislators","1","105","18"
"739093150816313344","legislators","3","300","14"
"736543281631367168","legislators","13","1303","20"
"205808948043980801","legislators","3","302","8"
"890041279073079296","legislators","0","0","11"
"1005437658368180224","legislators","3","300","44"
"622014438703501312","legislators","0","","14"
"545362711589453824","legislators","3","300","20"
"786199114560057345","legislators","0","0","9"
"931529179367116800","legislators","3","322","12"
"774337704301518848","legislators","12","1203","17"
"667761050264150016","legislators","3","302","19"
"925043459873939456","legislators","3","399","10"
"756261529494827009","legislators","3","332","17"
"887727041738661888","legislators","3","302","13"
"952959319733026816","legislators","3","398","9"
"842493180130004992","legislators","3","333","18"
"825108662326669314","legislators","0","0","10"
"695368852029353986","legislators","0","0","22"
"908000148730544128","legislators","13","1303","20"
"1006370768463192064","legislators","0","0","21"
"725386996668088320","legislators","13","1304","18"
"860188715200675840","legislators","3","343","20"
"981660087860256768","legislators","13","1304","38"
"876545056177573889","legislators","13","1308","20"
"431914648699695104","legislators","5","505","11"
"977943906636713984","legislators","0","0","41"
"648222819000655872","legislators","0","0","17"
"991689743888011266","legislators","3","333","28"
"906571070748184577","legislators","13","1304","21"
"984165451826585600","legislators","20","2012","40"
"859180656865103872","legislators","0","0","27"
"647193045218263041","legislators","13","1300","19"
"914853924485640193","legislators","0","0","17"
"298515927501271041","legislators","13","1304","15"
"862030008835035137","legislators","9","900","17"
"395245387952295936","legislators","20","2012","15"
"984936091047415808","legislators","13","1303","40"
"963226525964398598","legislators","4","405","20"
"739864734854459393","legislators","24","2400","25"
